,date,ean8,ean13,units_sold,stock,rating,cost_per_unit,promo,normal_price,new_price_per_unit,location,color
0,2021-01-25,00660983,0066098157118,75,79,3.6999999999999993,3109,normal,8488,8488.0,online,black
1,2020-03-07,00117708,0042232689899,75,68,4.899999999999999,7613,normal,5027,5027.0,online,black
2,2021-09-20,00326896,0098054635231,49,27,4.1,1986,normal,5209,5209.0,store,grey
3,2018-04-26,00980548,0050542961673,94,22,1.5999999999999996,7452,normal,7927,7927.0,store,silver
4,2019-04-18,00237253,0037812373497,66,67,1.2999999999999998,6949,normal,7652,7652.0,store,grey
5,2018-01-22,00429610,0028224947826,59,6,3.999999999999999,8173,promo,3017,2262.75,online,grey
6,2021-08-05,00970730,0004423551170,52,86,2.4999999999999996,1502,promo,2206,1654.5,online,black
7,2019-02-26,00237345,0034101666100,31,17,4.399999999999999,5890,promo,1684,1263.0,store,grey
8,2020-12-26,00282246,0035826098474,60,28,0.9999999999999999,3300,promo,9845,7383.75,store,black
9,2020-01-20,00200004,0089840897193,62,2,4.1,4263,promo,3632,2724.0,store,grey
10,2018-07-17,00355117,0066327407786,58,32,2.4999999999999996,5016,normal,6820,6820.0,online,grey
11,2018-10-03,00434102,0075817411912,3,53,1.6999999999999997,3972,normal,3729,3729.0,store,black
12,2021-07-20,00610087,0057204203065,26,82,4.199999999999999,5844,promo,5798,4348.5,online,black
13,2021-04-10,00826099,0011070278022,25,97,2.0999999999999996,7107,promo,419,314.25,store,silver
14,2018-04-23,00138987,0061397925277,75,95,3.8999999999999995,2261,promo,5960,4470.0,store,black
15,2018-12-01,00971997,0005606231698,48,36,4.399999999999999,6957,promo,4459,3344.25,store,black
16,2018-04-05,00663274,0038069764540,5,19,3.1999999999999993,7121,normal,3927,3927.0,store,silver
17,2021-10-01,00783279,0015208029111,30,47,4.1,6063,promo,7120,5340.0,online,black
18,2019-03-31,00174114,0091554892128,94,95,3.1999999999999993,9521,promo,7859,5894.25,store,grey
19,2018-01-11,00657204,0072774558629,72,66,2.3999999999999995,8095,normal,5989,5989.0,store,silver
20,2021-07-05,00306232,0006721869810,31,81,0.6,4145,normal,3871,3871.0,online,grey
21,2018-12-25,00702782,0055094523775,92,96,2.5999999999999996,1710,promo,8951,6713.25,online,silver
22,2021-07-17,00296137,0044975071900,21,54,4.599999999999999,2786,promo,5678,4258.5,online,grey
23,2019-01-18,00527958,0046440930002,90,21,1.0999999999999999,4224,promo,7499,5624.25,store,black
24,2018-05-06,00560627,0081950877850,14,69,0.6,8410,promo,279,209.25,store,silver
25,2019-03-21,00989763,0081665839266,8,31,0.7,7347,normal,6682,6682.0,store,silver
26,2021-06-04,00069762,0051382267284,4,72,2.5999999999999996,7259,normal,1571,1571.0,store,grey
27,2020-07-30,00861717,0095129987011,27,67,2.8999999999999995,1970,normal,3949,3949.0,store,black
28,2021-06-06,00802918,0012912482270,53,25,4.799999999999999,2527,normal,229,229.0,online,grey
29,2020-03-19,00491556,0082525971232,97,32,1.8999999999999997,8268,normal,1638,1638.0,store,silver
30,2020-05-05,00212731,0003613604504,57,30,4.199999999999999,4701,normal,2212,2212.0,store,grey
